"Id","Latitude","Longitude","Perzone"
"PGN-S62R3",69.20598,-51.10274,"Continuous"
"PGN-S62R4",69.20601,-51.10284,"Continuous"
"PGN-S62R5",69.20607,-51.10255,"Continuous"
"PLA-S39R1",69.29,-53.596,"Discontinuous"
"PLA-S39R2",69.29,-53.596,"Discontinuous"
"PLA-S39R3",69.29,-53.596,"Discontinuous"
"PLA-S39R4",69.29,-53.596,"Discontinuous"
"PLA-S39R5",69.29,-53.596,"Discontinuous"
"PLA-S40R1",69.2861,-53.596,"Discontinuous"
"PLA-S40R2",69.2861,-53.596,"Discontinuous"
"PLA-S40R3",69.2861,-53.596,"Discontinuous"
"PLA-S40R4",69.2861,-53.596,"Discontinuous"
"PLA-S40R5",69.2861,-53.596,"Discontinuous"
"PLA-S41R1",69.277,-53.579,"Discontinuous"
"PLA-S41R2",69.277,-53.579,"Discontinuous"
"PLA-S41R3",69.277,-53.579,"Discontinuous"
"PLA-S41R4",69.277,-53.579,"Discontinuous"
"PLA-S41R5",69.277,-53.579,"Discontinuous"
"TUW-S63R1",67.01972222,-50.695,"Continuous"
"TUW-S63R2",67.01972222,-50.69472222,"Continuous"
"TUW-S63R3",67.02,-50.69416667,"Continuous"
"TUW-S63R4",67.02,-50.695,"Continuous"
"TUW-S63R5",67.01972222,-50.69416667,"Continuous"
"TUW-S64R1",69.22694444,-51.09388889,"Continuous"
"TUW-S64R2",69.22694444,-51.09416667,"Continuous"
"TUW-S64R3",69.22666667,-51.09416667,"Continuous"
"TUW-S64R4",69.22722222,-51.09388889,"Continuous"
"TUW-S64R5",69.22694444,-51.09361111,"Continuous"
"TUW-S65R1",66.93722222,-53.67361111,"Sporadic"
"TUW-S65R2",66.9375,-53.67416667,"Sporadic"
"TUW-S65R3",66.93722222,-53.67416667,"Sporadic"
"TUW-S65R4",66.93722222,-53.67416667,"Sporadic"
"TUW-S65R5",66.9375,-53.67361111,"Sporadic"
"VJW-S48R1",77.77008333,-70.33145,"Continuous"
"VJW-S48R2",77.77003333,-70.33105,"Continuous"
"VJW-S48R3",77.77,-70.33113333,"Continuous"
"VJW-S48R4",77.7701,-70.33111667,"Continuous"
"VJW-S48R5",77.77003333,-70.33115,"Continuous"
"VJW-S49R1",76.45096667,-69.34176667,"Continuous"
"VJW-S49R2",76.45088333,-69.34165,"Continuous"
"VJW-S49R3",76.45086667,-69.34186667,"Continuous"
"VJW-S49R4",76.45093333,-69.3416,"Continuous"
"VJW-S49R5",76.4509,-69.34196667,"Continuous"
"VJW-S50R1",68.70256667,-52.98968333,"Discontinuous"
"VJW-S50R2",68.70208333,-52.99083333,"Discontinuous"
"VJW-S50R3",68.69898333,-52.98096667,"Discontinuous"
"VJW-S50R4",68.70273333,-52.98976667,"Discontinuous"
"VJW-S50R5",68.70625,-52.99345,"Discontinuous"
